perfil;red_social;tweets_post_totales;tweets_post_diarios;seguidores_fans_totales;seguidores_fans_diarios;fecha
Naturaleza Castilla y León;TWITTER;1465;6;2952;4;2021-01-25
Comunicación Junta de Castilla y León;TWITTER;55496;10;57030;150;2021-01-24
Centro de Emergencias Castilla y León 112;TWITTER;25945;9;72778;38;2021-01-24
Salud+JCYL;TWITTER;35631;10;29479;43;2021-01-23
Patrimonio Natural;FACEBOOK;3127;1;6037;4;2021-01-23
Comunicación Junta de Castilla y León;FACEBOOK;7808;3;24132;25;2021-01-23
FUESCYL Fundación Universidades;TWITTER;19902;6;3177;2;2021-01-21
ECLAP Escuela de Administración Pública;FACEBOOK;4351;2;3065;1;2021-01-21
CREFES Formación y Estudios Sociales;FACEBOOK;6111;2;3297;-1;2021-01-21
Patrimonio Natural;FACEBOOK;3123;1;6029;4;2021-01-20
Pasarela Castilla y León;TWITTER;1635;0;601;0;2021-01-20
Cultura de Castilla y León;TWITTER;24986;9;9705;5;2021-01-20
Energía EREN;TWITTER;15029;5;2778;3;2021-01-19
Turismo Castilla y León es Vida;TWITTER;60555;25;106401;14;2021-01-19
Centro de Emergencias Castilla y León 112;FACEBOOK;15070;9;16495;20;2021-01-17
Tierra de Sabor;TWITTER;38473;5;26760;6;2021-01-17
Marca Territorio;TWITTER;38043;-1;13162;9;2021-01-17
ECLAP Escuela de Administración Pública;FACEBOOK;4340;2;3059;1;2021-01-15
Energía EREN;TWITTER;15005;10;2771;0;2021-01-14
Empleo en Castilla y León;TWITTER;12954;12;4840;2;2021-01-14
Universidades e Investigación - JCyL;TWITTER;12471;18;2287;5;2021-01-13
Pasarela Castilla y León;FACEBOOK;617;0;5745;0;2021-01-13
Castilla y León Digital;FACEBOOK;5157;4;2387;0;2021-01-13
Centro de Emergencias Castilla y León 112;FACEBOOK;15023;8;16456;0;2021-01-12
Empleo en Castilla y León;FACEBOOK;5706;4;7577;23;2021-01-12
Instituto de la Juventud de Castilla y León;FACEBOOK;13124;6;12540;1;2021-01-11
Universidades e Investigación - JCyL;TWITTER;12434;21;2281;2;2021-01-11
ECLAP Escuela de Administración Pública;TWITTER;23568;7;4051;2;2021-01-10
Museos de Castilla y León;FACEBOOK;6666;3;6691;-3;2021-01-10
Comunicación Junta de Castilla y León;TWITTER;55290;11;54610;118;2021-01-09
sacylinnova;TWITTER;591;0;207;0;2021-01-08
CREFES Formación y Estudios Sociales;FACEBOOK;6099;0;3302;0;2021-01-07
Energía EREN;TWITTER;14965;3;2763;4;2021-01-07
Turismo Castilla y León es Vida;TWITTER;60307;14;106199;12;2021-01-07
Universidades e Investigación - JCyL;TWITTER;12397;6;2274;2;2021-01-07
Marca Territorio;FACEBOOK;3843;0;2511;0;2021-01-06
Museos de Castilla y León;TWITTER;26603;6;23183;5;2021-01-05
Pasarela Castilla y León;FACEBOOK;617;0;5745;0;2021-01-05
Educación;TWITTER;33190;1;46512;0;2021-01-04
Centro de Emergencias Castilla y León 112;TWITTER;25649;12;72234;22;2021-01-04
Empresas JCYL - ICE;TWITTER;5648;4;2088;0;2021-01-04
Instituto de la Juventud de Castilla y León;FACEBOOK;13086;0;12527;0;2021-01-02
Centro de Emergencias Castilla y León 112;TWITTER;25628;11;72204;14;2021-01-02
Gobierno Abierto de Castilla y León Transparencia;TWITTER;3139;4;2370;0;2021-01-02
Naturaleza Castilla y León;TWITTER;1349;2;2868;3;2021-01-02
Marca Territorio;TWITTER;35957;6;10582;2;2019-03-15
Marca Territorio;TWITTER;35764;6;10440;8;2019-02-03
Marca Territorio;TWITTER;35739;5;10421;4;2019-01-29
Marca Territorio;TWITTER;35542;2;10297;2;2018-12-21
Marca Territorio;TWITTER;35529;3;10291;3;2018-12-18
Marca Territorio;TWITTER;35448;4;10232;7;2018-11-23
Marca Territorio;TWITTER;35398;5;10194;8;2018-11-13
Marca Territorio;TWITTER;35387;7;10180;-10;2018-11-09
Marca Territorio;TWITTER;35380;5;10190;1;2018-11-08
Marca Territorio;TWITTER;35361;4;10169;3;2018-11-03
Marca Territorio;TWITTER;35346;4;10154;4;2018-10-30
Marca Territorio;TWITTER;35272;3;10079;-1;2018-10-04
Marca Territorio;TWITTER;35265;6;10074;1;2018-10-02
Marca Territorio;TWITTER;35251;4;10052;-1;2018-09-27
Marca Territorio;TWITTER;35225;4;10027;4;2018-09-19
Marca Territorio;TWITTER;35210;4;10016;3;2018-09-16
Marca Territorio;TWITTER;35082;3;9930;-59;2018-08-16
Marca Territorio;TWITTER;35039;4;9966;2;2018-08-08
Marca Territorio;TWITTER;34909;1;9869;1;2018-07-03
Marca Territorio;TWITTER;34675;2;9660;1;2018-04-28
Marca Territorio;TWITTER;34622;0;9593;3;2018-04-14
Marca Territorio;TWITTER;34611;3;9555;8;2018-04-08
Marca Territorio;TWITTER;34579;2;9515;-1;2018-03-31
Marca Territorio;TWITTER;34452;8;9383;5;2018-03-04
Marca Territorio;TWITTER;34301;6;9241;1;2018-02-01
Marca Territorio;TWITTER;34228;7;9172;11;2018-01-19
Marca Territorio;TWITTER;34098;4;9011;1;2017-12-25
Marca Territorio;TWITTER;33937;5;8950;7;2017-11-23
Marca Territorio;TWITTER;33818;7;8840;3;2017-11-02
Marca Territorio;TWITTER;33794;8;8825;7;2017-10-29
Marca Territorio;TWITTER;33707;6;8769;5;2017-10-19
Marca Territorio;TWITTER;33678;5;8740;2;2017-10-15
Marca Territorio;TWITTER;33673;7;8738;4;2017-10-14
Marca Territorio;TWITTER;33611;8;8699;5;2017-10-05
Marca Territorio;TWITTER;32944;8;8383;9;2017-07-24
Marca Territorio;TWITTER;32899;10;8355;4;2017-07-19
Marca Territorio;TWITTER;32715;8;8296;4;2017-06-30
Marca Territorio;TWITTER;32290;5;7957;14;2017-04-23
Marca Territorio;TWITTER;32218;6;7917;2;2017-04-09
Marca Territorio;TWITTER;32156;6;7890;2;2017-03-28
Marca Territorio;TWITTER;31230;5;7325;0;2016-09-24
Marca Territorio;TWITTER;31115;3;7271;-1;2016-09-03
Marca Territorio;TWITTER;31106;6;7270;2;2016-09-01
Universidades e Investigación - JCyL;TWITTER;11601;15;2142;1;2020-11-11
Universidades e Investigación - JCyL;TWITTER;11370;11;2120;3;2020-10-26
Universidades e Investigación - JCyL;TWITTER;11076;13;2095;1;2020-10-11
Universidades e Investigación - JCyL;TWITTER;10556;0;2053;1;2020-09-06
Universidades e Investigación - JCyL;TWITTER;10485;5;2034;1;2020-08-19
Universidades e Investigación - JCyL;TWITTER;10430;5;2027;-1;2020-08-08
Universidades e Investigación - JCyL;TWITTER;10410;5;2028;2;2020-08-04
Universidades e Investigación - JCyL;TWITTER;10395;5;2023;-1;2020-08-01
Universidades e Investigación - JCyL;TWITTER;10335;8;2007;3;2020-07-22
Universidades e Investigación - JCyL;TWITTER;9467;20;1839;3;2020-05-15
Universidades e Investigación - JCyL;TWITTER;9447;24;1836;3;2020-05-14
Universidades e Investigación - JCyL;TWITTER;9408;24;1830;6;2020-05-12
Universidades e Investigación - JCyL;TWITTER;9289;18;1809;4;2020-05-06
Universidades e Investigación - JCyL;TWITTER;9047;28;1775;2;2020-04-24
Universidades e Investigación - JCyL;TWITTER;8339;22;1669;1;2020-03-17
Universidades e Investigación - JCyL;TWITTER;8289;10;1660;4;2020-03-14
Universidades e Investigación - JCyL;TWITTER;8019;7;1584;3;2020-02-16
Universidades e Investigación - JCyL;TWITTER;7950;10;1562;0;2020-02-09
Universidades e Investigación - JCyL;TWITTER;7899;12;1556;4;2020-02-04
Universidades e Investigación - JCyL;TWITTER;7486;8;1472;1;2019-12-20
Universidades e Investigación - JCyL;TWITTER;7468;14;1471;2;2019-12-18
Universidades e Investigación - JCyL;TWITTER;7416;8;1466;1;2019-12-14
Universidades e Investigación - JCyL;TWITTER;7408;13;1465;2;2019-12-13
Universidades e Investigación - JCyL;TWITTER;7346;6;1448;2;2019-12-06
Universidades e Investigación - JCyL;TWITTER;7069;8;1397;0;2019-11-09
Universidades e Investigación - JCyL;TWITTER;6993;5;1386;1;2019-11-02
Universidades e Investigación - JCyL;TWITTER;6973;8;1380;1;2019-10-29
Universidades e Investigación - JCyL;TWITTER;6887;5;1359;1;2019-10-17
Universidades e Investigación - JCyL;TWITTER;6827;11;1354;1;2019-10-10
Universidades e Investigación - JCyL;TWITTER;6806;10;1355;2;2019-10-08
Universidades e Investigación - JCyL;TWITTER;6626;6;1316;0;2019-09-14
Universidades e Investigación - JCyL;TWITTER;6595;11;1308;1;2019-09-09
Universidades e Investigación - JCyL;TWITTER;6241;14;1250;2;2019-07-22
Universidades e Investigación - JCyL;TWITTER;6227;9;1248;1;2019-07-21
Universidades e Investigación - JCyL;TWITTER;6135;10;1226;1;2019-07-12
Universidades e Investigación - JCyL;TWITTER;5055;17;1058;2;2019-03-29
Universidades e Investigación - JCyL;TWITTER;4978;9;1047;1;2019-03-24
Universidades e Investigación - JCyL;TWITTER;4931;15;1038;0;2019-03-20
Universidades e Investigación - JCyL;TWITTER;4597;14;997;-1;2019-02-20
Universidades e Investigación - JCyL;TWITTER;4583;15;998;4;2019-02-19
Universidades e Investigación - JCyL;TWITTER;4551;15;992;-1;2019-02-17
Universidades e Investigación - JCyL;TWITTER;4351;11;968;1;2019-02-05
Universidades e Investigación - JCyL;TWITTER;3926;5;903;1;2018-12-25
Universidades e Investigación - JCyL;TWITTER;3915;7;902;3;2018-12-23
Universidades e Investigación - JCyL;TWITTER;3880;14;896;7;2018-12-19
Universidades e Investigación - JCyL;TWITTER;3734;19;861;1;2018-12-04
Universidades e Investigación - JCyL;TWITTER;3715;13;860;3;2018-12-03
Universidades e Investigación - JCyL;TWITTER;3645;22;850;4;2018-11-27
Universidades e Investigación - JCyL;TWITTER;3303;12;779;4;2018-10-26
Universidades e Investigación - JCyL;TWITTER;3291;12;775;3;2018-10-25
Universidades e Investigación - JCyL;TWITTER;3167;6;742;1;2018-10-13
Universidades e Investigación - JCyL;TWITTER;2967;12;709;1;2018-09-21
Universidades e Investigación - JCyL;TWITTER;2817;9;687;1;2018-09-07
Universidades e Investigación - JCyL;TWITTER;2565;6;622;3;2018-08-05
Universidades e Investigación - JCyL;TWITTER;2555;10;617;1;2018-08-03
Universidades e Investigación - JCyL;TWITTER;2358;14;586;-1;2018-07-15
Universidades e Investigación - JCyL;TWITTER;2256;9;566;0;2018-07-07
Universidades e Investigación - JCyL;TWITTER;2188;16;557;7;2018-07-02
Universidades e Investigación - JCyL;TWITTER;1259;11;393;4;2018-04-23
Universidades e Investigación - JCyL;TWITTER;1181;8;382;1;2018-04-15
Universidades e Investigación - JCyL;TWITTER;1173;6;381;2;2018-04-14
Universidades e Investigación - JCyL;TWITTER;522;7;248;2;2018-02-20
Universidades e Investigación - JCyL;TWITTER;438;7;214;1;2018-02-11
Atención al ciudadano 012;TWITTER;23287;10;8731;10;2020-12-30
Atención al ciudadano 012;TWITTER;23251;0;8714;-2;2020-12-27
Atención al ciudadano 012;TWITTER;23085;13;8636;-2;2020-12-04
Atención al ciudadano 012;TWITTER;22980;12;8598;2;2020-11-23
Atención al ciudadano 012;TWITTER;22968;6;8593;2;2020-11-21
Atención al ciudadano 012;TWITTER;22919;11;8585;3;2020-11-16
Atención al ciudadano 012;TWITTER;22558;0;8326;0;2020-10-04
Atención al ciudadano 012;TWITTER;22551;9;8324;4;2020-10-02
Atención al ciudadano 012;TWITTER;22529;10;8315;4;2020-09-30
Atención al ciudadano 012;TWITTER;22415;10;8272;7;2020-09-17
Atención al ciudadano 012;TWITTER;22355;11;8236;3;2020-09-10
Atención al ciudadano 012;TWITTER;22245;11;8188;5;2020-08-28
Atención al ciudadano 012;TWITTER;22220;12;8176;6;2020-08-26
Atención al ciudadano 012;TWITTER;22208;10;8170;7;2020-08-25
Atención al ciudadano 012;TWITTER;22181;11;8145;9;2020-08-21
Atención al ciudadano 012;TWITTER;22126;0;8121;1;2020-08-16
Atención al ciudadano 012;TWITTER;21596;12;7839;2;2020-06-16
Atención al ciudadano 012;TWITTER;21566;9;7832;1;2020-06-12
Atención al ciudadano 012;TWITTER;20978;11;7310;9;2020-04-06
Atención al ciudadano 012;TWITTER;20759;9;6988;32;2020-03-14
Atención al ciudadano 012;TWITTER;20715;10;6878;10;2020-03-10
Atención al ciudadano 012;TWITTER;20569;13;6836;3;2020-02-24
Atención al ciudadano 012;TWITTER;20551;11;6831;4;2020-02-21
Atención al ciudadano 012;TWITTER;20530;13;6823;7;2020-02-19
Atención al ciudadano 012;TWITTER;20493;6;6810;3;2020-02-15
Atención al ciudadano 012;TWITTER;20207;12;6737;7;2020-01-14
Atención al ciudadano 012;TWITTER;19881;11;6658;3;2019-12-02
Atención al ciudadano 012;TWITTER;19817;11;6652;0;2019-11-25
Atención al ciudadano 012;TWITTER;19740;6;6641;6;2019-11-16
Atención al ciudadano 012;TWITTER;19677;0;6632;5;2019-11-10
Atención al ciudadano 012;TWITTER;19659;12;6621;3;2019-11-07
Atención al ciudadano 012;TWITTER;19614;0;6615;2;2019-11-03
Atención al ciudadano 012;TWITTER;19554;12;6598;1;2019-10-25
Atención al ciudadano 012;TWITTER;19519;10;6594;0;2019-10-22
Atención al ciudadano 012;TWITTER;19339;10;6562;0;2019-10-01
Atención al ciudadano 012;TWITTER;19292;11;6557;6;2019-09-25
Atención al ciudadano 012;TWITTER;18763;-113;6424;-30;2019-08-10
Atención al ciudadano 012;TWITTER;18763;0;6424;0;2019-08-09
Atención al ciudadano 012;TWITTER;18763;0;6424;0;2019-08-05
Atención al ciudadano 012;TWITTER;18711;13;6422;9;2019-07-22
Atención al ciudadano 012;TWITTER;18673;9;6401;2;2019-07-17
Atención al ciudadano 012;TWITTER;18399;11;6347;1;2019-06-18
Atención al ciudadano 012;TWITTER;18219;11;6318;2;2019-05-29
Atención al ciudadano 012;TWITTER;18034;11;6277;2;2019-05-09
Atención al ciudadano 012;TWITTER;17817;12;6229;0;2019-04-10
Atención al ciudadano 012;TWITTER;17727;12;6219;3;2019-04-01
Atención al ciudadano 012;TWITTER;17698;13;6215;1;2019-03-28
Atención al ciudadano 012;TWITTER;17635;12;6203;-1;2019-03-21
Atención al ciudadano 012;TWITTER;17393;11;6160;1;2019-02-25
Atención al ciudadano 012;TWITTER;17191;6;6107;0;2019-02-02
Atención al ciudadano 012;TWITTER;17171;11;6104;0;2019-01-31
Atención al ciudadano 012;TWITTER;17137;11;6100;1;2019-01-28
Atención al ciudadano 012;TWITTER;16635;10;6016;-1;2018-11-27
Atención al ciudadano 012;TWITTER;16580;13;6007;2;2018-11-21
Atención al ciudadano 012;TWITTER;16526;12;5994;4;2018-11-15
Atención al ciudadano 012;TWITTER;16476;12;5981;4;2018-11-09
Atención al ciudadano 012;TWITTER;16366;6;5954;0;2018-10-27
Atención al ciudadano 012;TWITTER;16285;10;5938;3;2018-10-18
Atención al ciudadano 012;TWITTER;16252;12;5929;2;2018-10-15
Atención al ciudadano 012;TWITTER;16240;0;5927;0;2018-10-14
Atención al ciudadano 012;TWITTER;16146;11;5906;1;2018-10-02
Atención al ciudadano 012;TWITTER;16075;12;5897;-1;2018-09-24
Atención al ciudadano 012;TWITTER;15972;13;5874;4;2018-09-12
Atención al ciudadano 012;TWITTER;15935;2;5864;3;2018-09-09
Atención al ciudadano 012;TWITTER;15816;10;5830;1;2018-08-27
Atención al ciudadano 012;TWITTER;15806;0;5829;5;2018-08-26
Atención al ciudadano 012;TWITTER;15800;13;5823;0;2018-08-24
Atención al ciudadano 012;TWITTER;15645;12;5840;3;2018-08-07
Atención al ciudadano 012;TWITTER;15581;11;5833;-1;2018-07-31
Atención al ciudadano 012;TWITTER;15557;6;5830;0;2018-07-28
Atención al ciudadano 012;TWITTER;15289;13;5794;0;2018-06-28
Atención al ciudadano 012;TWITTER;15266;13;5791;2;2018-06-26
Atención al ciudadano 012;TWITTER;15199;14;5779;2;2018-06-19
Atención al ciudadano 012;TWITTER;15185;12;5777;0;2018-06-18
Atención al ciudadano 012;TWITTER;15173;6;5775;-1;2018-06-16
Atención al ciudadano 012;TWITTER;15167;13;5776;2;2018-06-15
Atención al ciudadano 012;TWITTER;15035;12;5744;4;2018-06-01
Atención al ciudadano 012;TWITTER;14673;6;5722;5;2018-04-21
Atención al ciudadano 012;TWITTER;14564;14;5699;4;2018-04-10
Atención al ciudadano 012;TWITTER;14376;14;5653;3;2018-03-19
Atención al ciudadano 012;TWITTER;14174;0;5602;2;2018-02-25
Atención al ciudadano 012;TWITTER;14124;11;5591;2;2018-02-19
Atención al ciudadano 012;TWITTER;14052;0;5572;5;2018-02-11
Atención al ciudadano 012;TWITTER;13814;13;5477;5;2018-01-16
Atención al ciudadano 012;TWITTER;13789;0;5466;3;2018-01-14
Atención al ciudadano 012;TWITTER;13789;6;5463;1;2018-01-13
Atención al ciudadano 012;TWITTER;13691;9;5412;2;2018-01-02
Atención al ciudadano 012;TWITTER;13630;0;5399;0;2017-12-24
Atención al ciudadano 012;TWITTER;13630;6;5399;2;2017-12-23
Atención al ciudadano 012;TWITTER;13603;11;5396;1;2017-12-20
Atención al ciudadano 012;TWITTER;13580;10;5392;4;2017-12-18
Atención al ciudadano 012;TWITTER;13475;12;5362;4;2017-12-04
Atención al ciudadano 012;TWITTER;13463;0;5358;0;2017-12-03
Atención al ciudadano 012;TWITTER;13260;11;5306;4;2017-11-09
Atención al ciudadano 012;TWITTER;13201;10;5292;-1;2017-11-02
Atención al ciudadano 012;TWITTER;13191;0;5293;3;2017-11-01
Atención al ciudadano 012;TWITTER;13081;10;5263;0;2017-10-18
Atención al ciudadano 012;TWITTER;13050;6;5257;1;2017-10-14
Atención al ciudadano 012;TWITTER;13022;9;5254;5;2017-10-10
Atención al ciudadano 012;TWITTER;12719;10;5184;3;2017-09-06
Atención al ciudadano 012;TWITTER;12603;11;5151;4;2017-08-23
Atención al ciudadano 012;TWITTER;12468;12;5121;2;2017-08-07
Atención al ciudadano 012;TWITTER;12284;12;5093;0;2017-07-17
Atención al ciudadano 012;TWITTER;12256;13;5089;3;2017-07-13
Atención al ciudadano 012;TWITTER;12208;6;5087;1;2017-07-08
Atención al ciudadano 012;TWITTER;12202;11;5086;0;2017-07-07
Atención al ciudadano 012;TWITTER;12000;14;5054;3;2017-06-15
Atención al ciudadano 012;TWITTER;11872;15;5025;2;2017-06-02
Atención al ciudadano 012;TWITTER;11807;0;5020;3;2017-05-28
Atención al ciudadano 012;TWITTER;11726;6;5003;5;2017-05-20
Atención al ciudadano 012;TWITTER;11694;15;4996;0;2017-05-17
Atención al ciudadano 012;TWITTER;11651;6;4990;1;2017-05-13
Atención al ciudadano 012;TWITTER;11486;11;4961;4;2017-04-26
Atención al ciudadano 012;TWITTER;11241;12;4906;4;2017-03-29
Atención al ciudadano 012;TWITTER;11148;13;4873;5;2017-03-20
Atención al ciudadano 012;TWITTER;11042;15;4848;3;2017-03-09
Atención al ciudadano 012;TWITTER;10918;0;4816;3;2017-02-26
Atención al ciudadano 012;TWITTER;10918;6;4813;4;2017-02-25
Atención al ciudadano 012;TWITTER;10868;11;4799;6;2017-02-20
Atención al ciudadano 012;TWITTER;10803;11;4769;3;2017-02-13
Atención al ciudadano 012;TWITTER;10722;12;4736;4;2017-02-03
Atención al ciudadano 012;TWITTER;10664;0;4717;-2;2017-01-29
Atención al ciudadano 012;TWITTER;10550;10;4671;3;2017-01-17
Atención al ciudadano 012;TWITTER;10448;11;4638;5;2017-01-04
Atención al ciudadano 012;TWITTER;10382;12;4614;5;2016-12-27
Atención al ciudadano 012;TWITTER;10370;6;4604;4;2016-12-24
Atención al ciudadano 012;TWITTER;10282;12;4573;0;2016-12-14
Atención al ciudadano 012;TWITTER;10250;0;4565;1;2016-12-11
Atención al ciudadano 012;TWITTER;10250;6;4564;5;2016-12-10
Atención al ciudadano 012;TWITTER;10232;11;4554;3;2016-12-07
Atención al ciudadano 012;TWITTER;10178;10;4522;6;2016-11-30
Atención al ciudadano 012;TWITTER;10085;11;4485;7;2016-11-18
Atención al ciudadano 012;TWITTER;10074;9;4478;1;2016-11-17
Atención al ciudadano 012;TWITTER;10055;11;4471;1;2016-11-15
Atención al ciudadano 012;TWITTER;10017;10;4461;0;2016-11-10
Atención al ciudadano 012;TWITTER;9884;10;4399;8;2016-10-25
Atención al ciudadano 012;TWITTER;9466;11;4182;6;2016-09-07
Atención al ciudadano 012;TWITTER;9335;12;4095;8;2016-08-23
Atención al ciudadano 012;TWITTER;9188;11;4013;4;2016-08-05
Atención al ciudadano 012;TWITTER;9139;12;3988;9;2016-08-01
Atención al ciudadano 012;TWITTER;9096;10;3966;8;2016-07-27
Atención al ciudadano 012;TWITTER;9067;0;3946;8;2016-07-24
Atención al ciudadano 012;TWITTER;8966;11;3859;3;2016-07-12
Atención al ciudadano 012;TWITTER;8915;10;3815;6;2016-07-06
Atención al ciudadano 012;TWITTER;8905;23;3809;13;2016-07-05
Atención al ciudadano 012;TWITTER;8882;0;3796;7;2016-07-03
Atención al ciudadano 012;TWITTER;8849;11;3772;1;2016-06-29
Atención al ciudadano 012;TWITTER;8812;0;3763;6;2016-06-26
Atención al ciudadano 012;TWITTER;8551;0;3629;5;2016-05-29
Atención al ciudadano 012;TWITTER;8508;12;3603;10;2016-05-24
Atención al ciudadano 012;TWITTER;8369;12;3522;8;2016-05-10
Atención al ciudadano 012;TWITTER;8343;6;3497;4;2016-05-07
Atención al ciudadano 012;TWITTER;8223;0;3422;1;2016-04-24
Atención al ciudadano 012;TWITTER;8221;11;3416;4;2016-04-22
Atención al ciudadano 012;TWITTER;8164;0;3391;-2;2016-04-17
Atención al ciudadano 012;TWITTER;8158;11;3389;4;2016-04-15
Atención al ciudadano 012;TWITTER;8147;11;3385;5;2016-04-14
Atención al ciudadano 012;TWITTER;8056;10;3320;3;2016-04-04
Atención al ciudadano 012;TWITTER;8046;5;3316;5;2016-04-02
Atención al ciudadano 012;TWITTER;8019;11;3301;2;2016-03-30
Atención al ciudadano 012;TWITTER;7987;0;3291;2;2016-03-27
Atención al ciudadano 012;TWITTER;7987;7;3289;0;2016-03-26
Atención al ciudadano 012;TWITTER;7956;11;3273;4;2016-03-21
Atención al ciudadano 012;TWITTER;7801;10;3206;4;2016-03-04
Atención al ciudadano 012;TWITTER;7791;11;3202;3;2016-03-03
Atención al ciudadano 012;TWITTER;7769;14;3192;3;2016-03-01
Atención al ciudadano 012;TWITTER;7738;14;3177;9;2016-02-26
Atención al ciudadano 012;TWITTER;7676;10;3150;2;2016-02-19
Atención al ciudadano 012;TWITTER;7620;4;3120;6;2016-02-13
Atención al ciudadano 012;TWITTER;7595;12;3109;3;2016-02-10
Atención al ciudadano 012;TWITTER;7424;5;3028;0;2016-01-23
Archivos de Castilla y León;FACEBOOK;6756;3;5476;1;2020-12-25
Archivos de Castilla y León;FACEBOOK;6737;3;5468;0;2020-12-19
Archivos de Castilla y León;FACEBOOK;6688;4;5465;-1;2020-12-05
Archivos de Castilla y León;FACEBOOK;6659;4;5463;2;2020-11-27
Archivos de Castilla y León;FACEBOOK;6641;3;5458;-1;2020-11-21
Archivos de Castilla y León;FACEBOOK;6596;3;5461;0;2020-11-08
Archivos de Castilla y León;FACEBOOK;6586;3;5461;3;2020-11-05
Archivos de Castilla y León;FACEBOOK;6580;4;5458;0;2020-11-03
Archivos de Castilla y León;FACEBOOK;6456;3;5429;-1;2020-09-22
Archivos de Castilla y León;FACEBOOK;6453;3;5430;2;2020-09-21
Archivos de Castilla y León;FACEBOOK;6447;4;5428;3;2020-09-19
Archivos de Castilla y León;FACEBOOK;6421;3;5419;0;2020-09-11
Archivos de Castilla y León;FACEBOOK;6400;3;5413;0;2020-09-04
Archivos de Castilla y León;FACEBOOK;6391;3;5412;-1;2020-09-01
Archivos de Castilla y León;FACEBOOK;6388;3;5413;0;2020-08-31
Archivos de Castilla y León;FACEBOOK;6345;3;5388;-1;2020-08-15
Archivos de Castilla y León;FACEBOOK;6339;3;5387;2;2020-08-13
Archivos de Castilla y León;FACEBOOK;6288;3;5377;-1;2020-07-26
Archivos de Castilla y León;FACEBOOK;6260;3;5363;0;2020-07-16
Archivos de Castilla y León;FACEBOOK;6251;3;5363;0;2020-07-13
Archivos de Castilla y León;FACEBOOK;6212;1;5349;4;2020-06-30
Archivos de Castilla y León;FACEBOOK;6211;3;5345;6;2020-06-29
Archivos de Castilla y León;FACEBOOK;6205;3;5312;7;2020-06-27
Archivos de Castilla y León;FACEBOOK;6189;4;5299;0;2020-06-22
Archivos de Castilla y León;FACEBOOK;6113;3;5243;0;2020-05-31
Archivos de Castilla y León;FACEBOOK;6102;4;5241;0;2020-05-27
Archivos de Castilla y León;FACEBOOK;6056;3;5223;2;2020-05-13
Archivos de Castilla y León;FACEBOOK;6031;3;5213;3;2020-05-05
Archivos de Castilla y León;FACEBOOK;6025;4;5205;2;2020-05-03
Archivos de Castilla y León;FACEBOOK;6007;4;5189;6;2020-04-28
Archivos de Castilla y León;FACEBOOK;5963;4;5120;3;2020-04-17
Archivos de Castilla y León;FACEBOOK;5935;3;5044;2;2020-04-10
Archivos de Castilla y León;FACEBOOK;5904;3;5023;1;2020-03-31
Archivos de Castilla y León;FACEBOOK;5890;4;5023;3;2020-03-27
Archivos de Castilla y León;FACEBOOK;5878;4;5021;-1;2020-03-24
Archivos de Castilla y León;FACEBOOK;5871;4;5022;3;2020-03-22
Archivos de Castilla y León;FACEBOOK;5834;3;5014;-1;2020-03-10
Archivos de Castilla y León;FACEBOOK;5821;3;5014;0;2020-03-05
Archivos de Castilla y León;FACEBOOK;5773;3;5010;1;2020-02-18
Archivos de Castilla y León;FACEBOOK;5758;2;5007;16;2020-02-14
Archivos de Castilla y León;FACEBOOK;5742;4;4986;-1;2020-02-09
Archivos de Castilla y León;FACEBOOK;5735;3;4984;0;2020-02-07
Archivos de Castilla y León;FACEBOOK;5726;3;4984;-1;2020-02-04
Archivos de Castilla y León;FACEBOOK;5719;3;4985;0;2020-02-02
Archivos de Castilla y León;FACEBOOK;5664;3;4983;0;2020-01-16
Archivos de Castilla y León;FACEBOOK;5622;3;4976;0;2020-01-02
Archivos de Castilla y León;FACEBOOK;5605;4;4977;1;2019-12-26
Archivos de Castilla y León;FACEBOOK;5570;4;4970;0;2019-12-15
Archivos de Castilla y León;FACEBOOK;5475;3;4931;0;2019-11-15
Archivos de Castilla y León;FACEBOOK;5463;3;4928;2;2019-11-11
Archivos de Castilla y León;FACEBOOK;5387;3;4899;1;2019-10-19
Archivos de Castilla y León;FACEBOOK;5342;4;4880;1;2019-10-05
Archivos de Castilla y León;FACEBOOK;5242;3;4810;2;2019-09-04
Archivos de Castilla y León;FACEBOOK;5239;3;4808;2;2019-09-03
Archivos de Castilla y León;FACEBOOK;5210;3;4782;1;2019-08-25
Archivos de Castilla y León;FACEBOOK;5207;3;4781;0;2019-08-24
Archivos de Castilla y León;FACEBOOK;5201;3;4782;2;2019-08-22
Archivos de Castilla y León;FACEBOOK;5190;3;4772;1;2019-08-18
Archivos de Castilla y León;FACEBOOK;5178;2;4754;4;2019-08-13
Archivos de Castilla y León;FACEBOOK;5164;-1;4736;0;2019-08-05
Archivos de Castilla y León;FACEBOOK;5140;3;4728;3;2019-07-27
Archivos de Castilla y León;FACEBOOK;5119;3;4694;6;2019-07-20
Archivos de Castilla y León;FACEBOOK;5087;3;4641;4;2019-07-09
Archivos de Castilla y León;FACEBOOK;5063;3;4617;0;2019-06-30
Archivos de Castilla y León;FACEBOOK;5043;3;4607;-1;2019-06-23
Archivos de Castilla y León;FACEBOOK;4989;4;4574;0;2019-06-06
Archivos de Castilla y León;FACEBOOK;4985;3;4574;2;2019-06-05
Archivos de Castilla y León;FACEBOOK;4979;4;4572;0;2019-06-03
Archivos de Castilla y León;FACEBOOK;4952;3;4562;3;2019-05-25
