perfil;red_social;tweets_post_totales;tweets_post_diarios;seguidores_fans_totales;seguidores_fans_diarios;fecha
Castilla y León Exterior;FACEBOOK;181;2;236;3;2017-03-13
Castilla y León Exterior;FACEBOOK;174;2;232;0;2017-03-08
Castilla y León Exterior;FACEBOOK;146;1;217;1;2017-02-21
Castilla y León Exterior;FACEBOOK;130;0;205;2;2017-02-12
Castilla y León Exterior;FACEBOOK;108;2;188;0;2017-01-30
Castilla y León Exterior;FACEBOOK;81;2;155;0;2017-01-13
Castilla y León Exterior;FACEBOOK;69;0;151;1;2017-01-07
Castilla y León Exterior;FACEBOOK;51;3;145;0;2016-12-29
Castilla y León Exterior;FACEBOOK;45;4;144;0;2016-12-27
Castilla y León Digital;FACEBOOK;5117;4;2382;0;2020-12-30
Castilla y León Digital;FACEBOOK;5080;3;2380;0;2020-12-18
Castilla y León Digital;FACEBOOK;5068;3;2380;0;2020-12-14
Castilla y León Digital;FACEBOOK;5053;3;2381;1;2020-12-09
Castilla y León Digital;FACEBOOK;5045;3;2381;0;2020-12-06
Castilla y León Digital;FACEBOOK;5007;4;2381;0;2020-11-24
Castilla y León Digital;FACEBOOK;4968;3;2377;1;2020-11-13
Castilla y León Digital;FACEBOOK;4965;3;2376;1;2020-11-12
Castilla y León Digital;FACEBOOK;4933;3;2374;1;2020-11-03
Castilla y León Digital;FACEBOOK;4930;3;2373;0;2020-11-02
Castilla y León Digital;FACEBOOK;4924;4;2372;1;2020-10-31
Castilla y León Digital;FACEBOOK;4910;4;2373;2;2020-10-27
Castilla y León Digital;FACEBOOK;4900;3;2371;0;2020-10-24
Castilla y León Digital;FACEBOOK;4878;3;2369;0;2020-10-17
Castilla y León Digital;FACEBOOK;4815;2;2362;0;2020-09-27
Castilla y León Digital;FACEBOOK;4810;3;2360;1;2020-09-25
Castilla y León Digital;FACEBOOK;4741;3;2355;3;2020-09-05
Castilla y León Digital;FACEBOOK;4684;4;2347;0;2020-08-19
Castilla y León Digital;FACEBOOK;4645;3;2345;-1;2020-08-07
Castilla y León Digital;FACEBOOK;4615;5;2340;0;2020-07-29
Castilla y León Digital;FACEBOOK;4607;3;2338;0;2020-07-27
Castilla y León Digital;FACEBOOK;4572;3;2337;2;2020-07-16
Castilla y León Digital;FACEBOOK;4558;3;2336;0;2020-07-12
Castilla y León Digital;FACEBOOK;4549;4;2336;0;2020-07-10
Castilla y León Digital;FACEBOOK;4508;3;2335;0;2020-06-28
Castilla y León Digital;FACEBOOK;4497;3;2335;0;2020-06-24
Castilla y León Digital;FACEBOOK;4476;4;2331;1;2020-06-18
Castilla y León Digital;FACEBOOK;4472;6;2330;0;2020-06-17
Castilla y León Digital;FACEBOOK;4455;3;2329;2;2020-06-13
Castilla y León Digital;FACEBOOK;4440;4;2324;1;2020-06-09
Castilla y León Digital;FACEBOOK;4373;4;2314;1;2020-05-24
Castilla y León Digital;FACEBOOK;4361;4;2311;0;2020-05-21
Castilla y León Digital;FACEBOOK;4326;6;2306;-1;2020-05-14
Castilla y León Digital;FACEBOOK;4320;5;2307;2;2020-05-13
Castilla y León Digital;FACEBOOK;4188;4;2265;0;2020-04-10
Castilla y León Digital;FACEBOOK;4107;2;2245;1;2020-03-20
Castilla y León Digital;FACEBOOK;4069;2;2236;1;2020-03-06
Castilla y León Digital;FACEBOOK;4045;2;2231;0;2020-02-28
Castilla y León Digital;FACEBOOK;4035;1;2231;0;2020-02-25
Castilla y León Digital;FACEBOOK;3994;3;2227;0;2020-02-11
Castilla y León Digital;FACEBOOK;3991;4;2227;2;2020-02-10
Castilla y León Digital;FACEBOOK;3927;2;2194;-1;2020-01-21
Castilla y León Digital;FACEBOOK;3921;2;2195;0;2020-01-19
Castilla y León Digital;FACEBOOK;3867;3;2190;-1;2019-12-31
Castilla y León Digital;FACEBOOK;3848;4;2191;0;2019-12-25
Castilla y León Digital;FACEBOOK;3833;3;2190;0;2019-12-21
Castilla y León Digital;FACEBOOK;3824;4;2190;0;2019-12-18
Castilla y León Digital;FACEBOOK;3794;3;2185;2;2019-12-08
Castilla y León Digital;FACEBOOK;3750;2;2181;0;2019-11-24
Castilla y León Digital;FACEBOOK;3740;5;2178;0;2019-11-20
Castilla y León Digital;FACEBOOK;3689;3;2167;0;2019-11-03
Castilla y León Digital;FACEBOOK;3649;2;2168;0;2019-10-22
Castilla y León Digital;FACEBOOK;3625;4;2163;1;2019-10-14
Castilla y León Digital;FACEBOOK;3593;3;2160;5;2019-10-04
Castilla y León Digital;FACEBOOK;3568;4;2150;1;2019-09-26
Castilla y León Digital;FACEBOOK;3535;4;2145;1;2019-09-16
Castilla y León Digital;FACEBOOK;3485;3;2134;0;2019-08-31
Castilla y León Digital;FACEBOOK;3266;3;2087;0;2019-06-20
Castilla y León Digital;FACEBOOK;3237;5;2074;0;2019-06-11
Castilla y León Digital;FACEBOOK;3232;4;2074;1;2019-06-10
Castilla y León Digital;FACEBOOK;3220;3;2068;3;2019-06-06
Castilla y León Digital;FACEBOOK;3118;4;1978;5;2019-05-05
Turismo Castilla y León es Vida;FACEBOOK;12295;10;47850;26;2016-12-07
Turismo Castilla y León es Vida;FACEBOOK;12133;15;47634;21;2016-11-24
Turismo Castilla y León es Vida;FACEBOOK;12072;5;47576;9;2016-11-19
Turismo Castilla y León es Vida;FACEBOOK;11740;17;47115;13;2016-10-20
Turismo Castilla y León es Vida;FACEBOOK;11651;7;46983;12;2016-10-12
Turismo Castilla y León es Vida;FACEBOOK;11631;8;46962;4;2016-10-10
Turismo Castilla y León es Vida;FACEBOOK;11572;14;46903;17;2016-10-04
Turismo Castilla y León es Vida;FACEBOOK;11383;7;46509;17;2016-09-17
Turismo Castilla y León es Vida;FACEBOOK;11155;6;46144;32;2016-08-28
Turismo Castilla y León es Vida;FACEBOOK;11118;11;46031;48;2016-08-24
Turismo Castilla y León es Vida;FACEBOOK;11073;8;45914;21;2016-08-20
Turismo Castilla y León es Vida;FACEBOOK;10851;6;45525;18;2016-07-30
Turismo Castilla y León es Vida;FACEBOOK;10755;19;45399;18;2016-07-22
Turismo Castilla y León es Vida;FACEBOOK;10736;13;45381;21;2016-07-21
Turismo Castilla y León es Vida;FACEBOOK;10652;13;45236;43;2016-07-14
Turismo Castilla y León es Vida;FACEBOOK;10332;6;44797;23;2016-06-18
Turismo Castilla y León es Vida;FACEBOOK;10208;13;44436;56;2016-06-09
Turismo Castilla y León es Vida;FACEBOOK;10142;13;44198;71;2016-06-03
Turismo Castilla y León es Vida;FACEBOOK;10076;10;43982;54;2016-05-29
Turismo Castilla y León es Vida;FACEBOOK;9720;13;43152;14;2016-04-28
Turismo Castilla y León es Vida;FACEBOOK;9555;15;42380;21;2016-04-17
Turismo Castilla y León es Vida;FACEBOOK;9325;10;41809;13;2016-03-29
Turismo Castilla y León es Vida;FACEBOOK;9293;12;41750;18;2016-03-26
Turismo Castilla y León es Vida;FACEBOOK;9204;8;41663;13;2016-03-19
Turismo Castilla y León es Vida;FACEBOOK;9127;6;41579;13;2016-03-12
Turismo Castilla y León es Vida;FACEBOOK;9005;8;41390;15;2016-03-02
Turismo Castilla y León es Vida;FACEBOOK;8621;8;40436;29;2016-01-30
Turismo Castilla y León es Vida;FACEBOOK;8535;14;40209;32;2016-01-22
Turismo Castilla y León es Vida;FACEBOOK;8510;14;40149;40;2016-01-20
Turismo Castilla y León es Vida;FACEBOOK;8436;16;39894;42;2016-01-12
Turismo Castilla y León es Vida;TWITTER;60172;21;106065;5;2020-12-29
Turismo Castilla y León es Vida;TWITTER;60053;23;106002;4;2020-12-22
Turismo Castilla y León es Vida;TWITTER;59992;14;105956;16;2020-12-19
Turismo Castilla y León es Vida;TWITTER;59978;22;105940;4;2020-12-18
Turismo Castilla y León es Vida;TWITTER;59830;16;105880;-6;2020-12-10
Turismo Castilla y León es Vida;TWITTER;59733;18;105819;2;2020-12-04
Turismo Castilla y León es Vida;TWITTER;59622;12;105756;11;2020-11-28
Turismo Castilla y León es Vida;TWITTER;59406;15;105574;20;2020-11-15
Turismo Castilla y León es Vida;TWITTER;59168;15;105315;14;2020-10-31
Turismo Castilla y León es Vida;TWITTER;58913;16;105059;16;2020-10-16
Turismo Castilla y León es Vida;TWITTER;58377;22;104694;16;2020-09-18
Turismo Castilla y León es Vida;TWITTER;58200;14;104600;8;2020-09-08
Turismo Castilla y León es Vida;TWITTER;58133;17;104561;11;2020-09-04
Turismo Castilla y León es Vida;TWITTER;58116;16;104550;6;2020-09-03
Turismo Castilla y León es Vida;TWITTER;57895;14;104304;23;2020-08-20
Turismo Castilla y León es Vida;TWITTER;57881;19;104281;-15;2020-08-19
Turismo Castilla y León es Vida;TWITTER;57655;16;104162;18;2020-08-05
Turismo Castilla y León es Vida;TWITTER;57602;14;104128;9;2020-08-02
Turismo Castilla y León es Vida;TWITTER;57588;18;104119;5;2020-08-01
Turismo Castilla y León es Vida;TWITTER;57377;14;103997;21;2020-07-19
Turismo Castilla y León es Vida;TWITTER;57327;19;103953;18;2020-07-16
Turismo Castilla y León es Vida;TWITTER;57205;19;103825;15;2020-07-09
Turismo Castilla y León es Vida;TWITTER;57124;16;103770;3;2020-07-05
Turismo Castilla y León es Vida;TWITTER;57030;23;103723;9;2020-06-30
Turismo Castilla y León es Vida;TWITTER;56973;14;103699;0;2020-06-27
Turismo Castilla y León es Vida;TWITTER;56441;19;103569;8;2020-05-31
Turismo Castilla y León es Vida;TWITTER;56116;27;103350;19;2020-05-14
Turismo Castilla y León es Vida;TWITTER;56089;21;103331;9;2020-05-13
Turismo Castilla y León es Vida;TWITTER;55993;22;103231;10;2020-05-08
Turismo Castilla y León es Vida;TWITTER;55910;22;103192;10;2020-05-04
Turismo Castilla y León es Vida;TWITTER;55578;20;102954;18;2020-04-17
Turismo Castilla y León es Vida;TWITTER;55277;23;102784;8;2020-04-04
Turismo Castilla y León es Vida;TWITTER;55211;18;102753;9;2020-04-01
Turismo Castilla y León es Vida;TWITTER;55172;19;102729;-6;2020-03-30
Turismo Castilla y León es Vida;TWITTER;54871;15;102644;29;2020-03-14
Turismo Castilla y León es Vida;TWITTER;54845;12;102593;9;2020-03-12
Turismo Castilla y León es Vida;TWITTER;54789;12;102542;-5;2020-03-08
Turismo Castilla y León es Vida;TWITTER;54595;17;102436;15;2020-02-24
Turismo Castilla y León es Vida;TWITTER;54399;15;102340;19;2020-02-12
Turismo Castilla y León es Vida;TWITTER;54327;11;102287;12;2020-02-07
Turismo Castilla y León es Vida;TWITTER;54241;11;102255;6;2020-02-01
Turismo Castilla y León es Vida;TWITTER;54169;13;102214;14;2020-01-27
Turismo Castilla y León es Vida;TWITTER;53820;9;101990;8;2020-01-06
Turismo Castilla y León es Vida;TWITTER;53513;16;101811;8;2019-12-15
Turismo Castilla y León es Vida;TWITTER;53460;17;101784;6;2019-12-11
Turismo Castilla y León es Vida;TWITTER;53427;14;101761;22;2019-12-09
Turismo Castilla y León es Vida;TWITTER;53413;11;101739;-4;2019-12-08
Turismo Castilla y León es Vida;TWITTER;53402;12;101743;-2;2019-12-07
Turismo Castilla y León es Vida;TWITTER;53150;23;101636;2;2019-11-21
Turismo Castilla y León es Vida;TWITTER;53112;17;101625;8;2019-11-19
Turismo Castilla y León es Vida;TWITTER;53050;16;101587;6;2019-11-15
Turismo Castilla y León es Vida;TWITTER;52986;19;101547;13;2019-11-11
Turismo Castilla y León es Vida;TWITTER;52899;16;101494;14;2019-11-06
Turismo Castilla y León es Vida;TWITTER;52726;12;101378;7;2019-10-26
Turismo Castilla y León es Vida;TWITTER;52423;19;101266;7;2019-10-07
Turismo Castilla y León es Vida;TWITTER;52335;15;101214;9;2019-09-30
Turismo Castilla y León es Vida;TWITTER;52320;11;101205;-1;2019-09-29
Turismo Castilla y León es Vida;TWITTER;52179;17;101125;17;2019-09-19
Turismo Castilla y León es Vida;TWITTER;51812;15;100721;20;2019-08-23
Turismo Castilla y León es Vida;TWITTER;51785;15;100693;12;2019-08-21
Turismo Castilla y León es Vida;TWITTER;51670;169;100558;170;2019-08-12
Turismo Castilla y León es Vida;TWITTER;51501;0;100388;0;2019-08-10
